,round,steps,score
0,979,192,50
0,980,93,29
0,981,154,47
0,982,12,3
0,983,288,49
0,984,192,37
0,985,236,50
0,986,23,9
0,987,47,14
0,988,151,50
0,989,267,50
0,990,15,6
0,991,44,15
0,992,20,2
0,993,4,0
0,994,43,17
0,995,109,19
0,996,215,50
0,997,234,50
0,998,109,26
0,999,220,50
0,1000,127,34
0,1001,106,31
0,1002,24,1
0,1003,41,15
0,1004,298,50
0,1005,182,50
0,1006,38,14
0,1007,167,50
0,1008,166,50
0,1009,79,27
0,1010,97,25
0,1011,20,7
0,1012,227,50
0,1013,126,35
0,1014,400,49
0,1015,28,4
0,1016,176,50
0,1017,232,49
0,1018,96,31
0,1019,66,25
0,1020,133,25
0,1021,218,50
0,1022,176,50
0,1023,197,47
0,1024,47,17
0,1025,18,6
0,1026,68,20
0,1027,399,50
0,1028,179,47
0,1029,79,24
0,1030,185,50
0,1031,54,13
0,1032,145,46
0,1033,118,36
0,1034,146,45
0,1035,4,0
0,1036,83,18
0,1037,24,9
0,1038,159,41
0,1039,249,50
0,1040,319,47
0,1041,246,41
0,1042,189,50
0,1043,48,19
0,1044,106,29
0,1045,8,1
0,1046,9,2
0,1047,127,40
0,1048,13,3
0,1049,194,24
0,1050,6,1
0,1051,78,25
0,1052,54,15
0,1053,89,27
0,1054,229,50
0,1055,93,28
0,1056,44,14
0,1057,93,31
0,1058,178,50
0,1059,201,50
0,1060,10,4
0,1061,73,24
0,1062,104,30
0,1063,163,45
0,1064,96,35
0,1065,175,50
0,1066,245,50
0,1067,68,18
0,1068,42,18
0,1069,49,18
0,1070,21,9
0,1071,178,50
0,1072,194,50
0,1073,191,50
0,1074,66,27
0,1075,123,44
0,1076,22,5
0,1077,224,50
0,1078,48,14
0,1079,248,50
0,1080,201,50
0,1081,91,23
0,1082,227,50
0,1083,84,25
0,1084,193,44
0,1085,273,47
0,1086,15,5
0,1087,227,45
0,1088,183,35
0,1089,102,25
0,1090,15,3
0,1091,234,42
0,1092,196,50
0,1093,79,30
0,1094,289,50
0,1095,51,15
0,1096,279,49
0,1097,72,21
0,1098,47,15
0,1099,102,28
0,1100,207,49
0,1101,184,50
0,1102,74,25
0,1103,170,50
0,1104,88,21
0,1105,82,26
0,1106,150,41
0,1107,27,10
0,1108,180,50
0,1109,46,12
0,1110,269,49
0,1111,73,26
0,1112,129,40
0,1113,195,47
0,1114,143,40
0,1115,110,22
0,1116,8,2
0,1117,253,50
0,1118,58,16
0,1119,189,50
0,1120,218,50
0,1121,235,50
0,1122,197,41
0,1123,178,50
0,1124,165,50
0,1125,95,19
0,1126,39,13
0,1127,169,50
0,1128,44,8
0,1129,51,14
0,1130,43,10
0,1131,227,47
0,1132,170,47
0,1133,47,14
0,1134,160,46
0,1135,218,27
0,1136,183,43
0,1137,197,50
0,1138,108,34
0,1139,80,24
0,1140,9,2
0,1141,118,34
0,1142,97,32
0,1143,30,13
0,1144,344,50
0,1145,66,27
0,1146,236,43
0,1147,25,5
0,1148,91,26
0,1149,197,39
0,1150,106,26
0,1151,219,49
0,1152,192,47
0,1153,203,50
0,1154,249,50
0,1155,179,50
0,1156,232,46
0,1157,368,50
0,1158,17,6
0,1159,189,50
0,1160,6,1
0,1161,26,11
0,1162,54,16
0,1163,49,16
0,1164,189,50
0,1165,211,50
0,1166,116,37
0,1167,188,15
0,1168,217,50
0,1169,192,45
0,1170,302,49
0,1171,64,20
0,1172,211,50
0,1173,300,50
0,1174,58,14
0,1175,70,18
0,1176,212,50
0,1177,221,45
0,1178,210,50
0,1179,116,38
0,1180,149,43
0,1181,199,50
0,1182,43,18
0,1183,25,6
0,1184,49,18
0,1185,176,46
